check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-23T06:10:36.405240+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-23T06:10:36.405253+05:30
tls,pass,TLS certificate valid,,2026-09-23T06:10:37.154905+05:30
http,pass,Probe 1: HTTP 200 at https://digitalfreelancer.gov.lk/,https://digitalfreelancer.gov.lk/,2026-09-23T06:11:10.551729+05:30
http,pass,Probe 2: HTTP 200 at http://digitalfreelancer.gov.lk/,http://digitalfreelancer.gov.lk/,2026-09-23T06:11:10.551749+05:30
http,pass,Probe 3: HTTP 200 at https://digitalfreelancer.gov.lk/,https://digitalfreelancer.gov.lk/,2026-09-23T06:11:10.551752+05:30
http,pass,Probe 4: HTTP 200 at http://digitalfreelancer.gov.lk/,http://digitalfreelancer.gov.lk/,2026-09-23T06:11:10.551754+05:30
http,pass,Probe 5: HTTP 200 at https://digitalfreelancer.gov.lk,https://digitalfreelancer.gov.lk,2026-09-23T06:11:10.551756+05:30
http,pass,Probe 6: HTTP 200 at https://digitalfreelancer.gov.lk?page_id=891,https://digitalfreelancer.gov.lk?page_id=891,2026-09-23T06:11:10.551757+05:30
http,pass,Probe 7: HTTP 200 at https://digitalfreelancer.gov.lk?page_id=918,https://digitalfreelancer.gov.lk?page_id=918,2026-09-23T06:11:10.551759+05:30
http,pass,Probe 8: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=992,https://digitalfreelancer.gov.lk/?page_id=992,2026-09-23T06:11:10.551760+05:30
http,pass,Probe 9: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=8,https://digitalfreelancer.gov.lk/?page_id=8,2026-09-23T06:11:10.551762+05:30
http,pass,Probe 10: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=1475,https://digitalfreelancer.gov.lk/?page_id=1475,2026-09-23T06:11:10.551764+05:30
http,pass,Probe 11: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=1364,https://digitalfreelancer.gov.lk/?page_id=1364,2026-09-23T06:11:10.551765+05:30
http,pass,Probe 12: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=874,https://digitalfreelancer.gov.lk/?page_id=874,2026-09-23T06:11:10.551767+05:30
http,pass,Probe 13: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=457,https://digitalfreelancer.gov.lk/?page_id=457,2026-09-23T06:11:10.551769+05:30
http,pass,Probe 14: HTTP 200 at https://digitalfreelancer.gov.lk/?page_id=244,https://digitalfreelancer.gov.lk/?page_id=244,2026-09-23T06:11:10.551770+05:30
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/,
phone,pass,Published phone: +94 112-369-099 ,http://digitalfreelancer.gov.lk/,
email,pass,Published email: info@lightingdigital.gov.lk,http://digitalfreelancer.gov.lk/,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/,
phone,pass,Published phone: +94 112-369-099 ,http://digitalfreelancer.gov.lk/,
email,pass,Published email: info@lightingdigital.gov.lk,http://digitalfreelancer.gov.lk/,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk?page_id=891,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk?page_id=891,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk?page_id=918,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk?page_id=918,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=992,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=992,
fees_and_payment,pass,Published fees and payment: rs 0,https://digitalfreelancer.gov.lk/?page_id=992,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=8,
phone,pass,Published phone: +94 11 236 9099 ,https://digitalfreelancer.gov.lk/?page_id=8,
phone,pass,Published phone: +94112369099,https://digitalfreelancer.gov.lk/?page_id=8,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=8,
email,pass,Published email: info@icta.lk,https://digitalfreelancer.gov.lk/?page_id=8,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=1475,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=1475,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=1364,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=1364,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=874,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=874,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=457,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=457,
phone,pass,Published phone: +94 112-369-099 ,https://digitalfreelancer.gov.lk/?page_id=244,
email,pass,Published email: info@lightingdigital.gov.lk,https://digitalfreelancer.gov.lk/?page_id=244,
page_text,pass,Substantive page content: 5791 visible characters across 14 pages,https://digitalfreelancer.gov.lk/,
