check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T06:47:59.460624+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T06:47:59.460644+05:30
tls,pass,TLS certificate valid,,2026-09-21T06:47:59.748286+05:30
http,pass,Probe 1: HTTP 200 at https://cec.gov.lk/,https://cec.gov.lk/,2026-09-21T06:48:17.274041+05:30
http,pass,Probe 2: HTTP 200 at http://cec.gov.lk/,http://cec.gov.lk/,2026-09-21T06:48:17.274068+05:30
http,pass,Probe 3: HTTP 200 at https://cec.gov.lk/,https://cec.gov.lk/,2026-09-21T06:48:17.274081+05:30
http,pass,Probe 4: HTTP 200 at http://cec.gov.lk/,http://cec.gov.lk/,2026-09-21T06:48:17.274088+05:30
http,pass,Probe 5: HTTP 200 at https://cec.gov.lk/web/index.php?lang=si,https://cec.gov.lk/web/index.php?lang=si,2026-09-21T06:48:17.274093+05:30
http,pass,Probe 6: HTTP 200 at https://cec.gov.lk/web/index.php?lang=ta,https://cec.gov.lk/web/index.php?lang=ta,2026-09-21T06:48:17.274098+05:30
http,pass,Probe 7: HTTP 200 at https://cec.gov.lk/web/index.php?lang=en,https://cec.gov.lk/web/index.php?lang=en,2026-09-21T06:48:17.274104+05:30
http,pass,Probe 8: HTTP 200 at https://cec.gov.lk/web/index.php?lang=si,http://cec.gov.lk/web/index.php?lang=si,2026-09-21T06:48:17.274110+05:30
http,pass,Probe 9: HTTP 200 at https://cec.gov.lk/web/index.php?lang=ta,http://cec.gov.lk/web/index.php?lang=ta,2026-09-21T06:48:17.274115+05:30
http,pass,Probe 10: HTTP 200 at https://cec.gov.lk/web/index.php?lang=en,http://cec.gov.lk/web/index.php?lang=en,2026-09-21T06:48:17.274120+05:30
http,pass,Probe 11: HTTP 200 at https://cec.gov.lk/web/index.php?lang=en,https://cec.gov.lk/web/index.php,2026-09-21T06:48:17.274126+05:30
http,pass,Probe 12: HTTP 200 at https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,2026-09-21T06:48:17.274132+05:30
http,pass,Probe 13: HTTP 200 at https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,2026-09-21T06:48:17.274137+05:30
http,pass,Probe 14: HTTP 200 at https://cec.gov.lk/web/index.php?option=com_content&view=article&id=57&Itemid=220&lang=si,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=57&Itemid=220&lang=si,2026-09-21T06:48:17.274143+05:30
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 08 212 16125,https://cec.gov.lk/web/index.php?lang=si,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 08 213 16125,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=ta,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 08 214 16125,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0 7292 16318,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=en,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://cec.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: circular,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 08 215 16125,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=si,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 08 216 16125,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=ta,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 08 217 16125,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0284366541,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=en,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://cec.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: circular,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0 208 218 161,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?lang=en,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://cec.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: circular,https://cec.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: 08 219 16125,https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: +94 11 2396208 ,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,
phone,pass,Published phone: +94 11 2396206 ,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,
phone,pass,Published phone: 08 220 16125,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,
phone,pass,Published phone: 0.186.238.83 2,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,
email,pass,Published email: cec.gov1@gmail.com,https://cec.gov.lk/web/index.php?option=com_content&view=article&id=56&Itemid=219&lang=si,
