check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-26T07:16:09.409593+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-26T07:16:09.409614+05:30
tls,pass,TLS certificate valid,,2026-09-26T07:16:10.142005+05:30
http,pass,Probe 1: HTTP 200 at https://fiusrilanka.gov.lk/,https://fiusrilanka.gov.lk/,2026-09-26T07:16:31.725414+05:30
http,pass,Probe 2: HTTP 200 at https://fiusrilanka.gov.lk/,http://fiusrilanka.gov.lk/,2026-09-26T07:16:31.725434+05:30
http,pass,Probe 3: HTTP 200 at https://fiusrilanka.gov.lk/,https://fiusrilanka.gov.lk/,2026-09-26T07:16:31.725438+05:30
http,pass,Probe 4: HTTP 200 at https://fiusrilanka.gov.lk/,http://fiusrilanka.gov.lk/,2026-09-26T07:16:31.725441+05:30
http,pass,Probe 5: HTTP 200 at https://fiusrilanka.gov.lk/contact-us/,https://fiusrilanka.gov.lk/contact-us/,2026-09-26T07:16:31.725444+05:30
http,pass,Probe 6: HTTP 200 at https://fiusrilanka.gov.lk/establishment-of-the-fiu/,https://fiusrilanka.gov.lk/establishment-of-the-fiu/,2026-09-26T07:16:31.725446+05:30
http,pass,Probe 7: HTTP 200 at https://fiusrilanka.gov.lk/functions/,https://fiusrilanka.gov.lk/functions/,2026-09-26T07:16:31.725449+05:30
http,pass,Probe 8: HTTP 200 at https://fiusrilanka.gov.lk/objectives/,https://fiusrilanka.gov.lk/objectives/,2026-09-26T07:16:31.725451+05:30
http,pass,Probe 9: HTTP 200 at https://fiusrilanka.gov.lk/organizational-structure/,https://fiusrilanka.gov.lk/organizational-structure/,2026-09-26T07:16:31.725453+05:30
http,pass,Probe 10: HTTP 200 at https://fiusrilanka.gov.lk/stakeholders/,https://fiusrilanka.gov.lk/stakeholders/,2026-09-26T07:16:31.725455+05:30
http,pass,Probe 11: HTTP 200 at https://fiusrilanka.gov.lk/acts/,https://fiusrilanka.gov.lk/acts/,2026-09-26T07:16:31.725457+05:30
http,pass,Probe 12: HTTP 200 at https://fiusrilanka.gov.lk/regulations/,https://fiusrilanka.gov.lk/regulations/,2026-09-26T07:16:31.725460+05:30
http,pass,Probe 13: HTTP 200 at https://fiusrilanka.gov.lk/rules/,https://fiusrilanka.gov.lk/rules/,2026-09-26T07:16:31.725462+05:30
http,pass,Probe 14: HTTP 200 at https://fiusrilanka.gov.lk/directions/,https://fiusrilanka.gov.lk/directions/,2026-09-26T07:16:31.725464+05:30
named_responsibility,pass,Published named responsibility: division,https://fiusrilanka.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://fiusrilanka.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://fiusrilanka.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://fiusrilanka.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/,
phone,pass,Published phone: +94112477509 ,https://fiusrilanka.gov.lk/contact-us/,
phone,pass,Published phone: +94112477692 ,https://fiusrilanka.gov.lk/contact-us/,
email,pass,Published email: dfiu@cbsl.lk,https://fiusrilanka.gov.lk/contact-us/,
email,pass,Published email: fiu@cbsl.lk,https://fiusrilanka.gov.lk/contact-us/,
postal_address,pass,"Published postal address: Central Bank of Sri Lanka, No.30, Janadhipathi Mawatha, Colombo 01, Sri Lanka",https://fiusrilanka.gov.lk/contact-us/,
named_responsibility,pass,Published named responsibility: director,https://fiusrilanka.gov.lk/contact-us/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/contact-us/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/establishment-of-the-fiu/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/functions/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/functions/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/objectives/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/organizational-structure/,
named_responsibility,pass,Published named responsibility: division,https://fiusrilanka.gov.lk/stakeholders/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/stakeholders/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/stakeholders/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/acts/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/regulations/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/rules/,
fees_and_payment,pass,"Published fees and payment: rs,",https://fiusrilanka.gov.lk/rules/,
legal_basis,pass,Published legal basis: regulations,https://fiusrilanka.gov.lk/directions/,
page_text,pass,Substantive page content: 7536 visible characters across 14 pages,https://fiusrilanka.gov.lk/,
