check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-26T06:05:54.548583+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-26T06:05:54.548603+05:30
tls,pass,TLS certificate valid,,2026-09-26T06:05:55.329639+05:30
http,pass,Probe 1: HTTP 200 at https://landcom.gov.lk/,https://landcom.gov.lk/,2026-09-26T06:06:13.702364+05:30
http,pass,Probe 2: HTTP 200 at https://landcom.gov.lk/,http://landcom.gov.lk/,2026-09-26T06:06:13.702383+05:30
http,pass,Probe 3: HTTP 200 at https://landcom.gov.lk/,https://landcom.gov.lk/,2026-09-26T06:06:13.702387+05:30
http,pass,Probe 4: HTTP 200 at https://landcom.gov.lk/,http://landcom.gov.lk/,2026-09-26T06:06:13.702389+05:30
http,pass,Probe 5: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/home_sin.php,https://landcom.gov.lk/sinhalaDoc/home_sin.php,2026-09-26T06:06:13.702392+05:30
http,pass,Probe 6: HTTP 200 at https://landcom.gov.lk/englishDoc/home_en.php,https://landcom.gov.lk/englishDoc/home_en.php,2026-09-26T06:06:13.702394+05:30
http,pass,Probe 7: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/depServices_sin.php,https://landcom.gov.lk/sinhalaDoc/depServices_sin.php,2026-09-26T06:06:13.702396+05:30
http,pass,Probe 8: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,2026-09-26T06:06:13.702399+05:30
http,pass,Probe 9: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/mobileServiceInfo_sin.php,https://landcom.gov.lk/sinhalaDoc/mobileServiceInfo_sin.php,2026-09-26T06:06:13.702401+05:30
http,pass,Probe 10: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/intro_sin.php,https://landcom.gov.lk/sinhalaDoc/intro_sin.php,2026-09-26T06:06:13.702403+05:30
http,pass,Probe 11: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/history_sin.php,https://landcom.gov.lk/sinhalaDoc/history_sin.php,2026-09-26T06:06:13.702405+05:30
http,pass,Probe 12: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/depStructure_sin.php,https://landcom.gov.lk/sinhalaDoc/depStructure_sin.php,2026-09-26T06:06:13.702407+05:30
http,pass,Probe 13: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,2026-09-26T06:06:13.702410+05:30
http,pass,Probe 14: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,2026-09-26T06:06:13.702412+05:30
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/home_sin.php,
named_responsibility,pass,Published named responsibility: division,https://landcom.gov.lk/englishDoc/home_en.php,
legal_basis,pass,Published legal basis: circular,https://landcom.gov.lk/englishDoc/home_en.php,
published_update_date,pass,Published published update date: 11 September 2026,https://landcom.gov.lk/englishDoc/home_en.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/depServices_sin.php,
phone,pass,Published phone: 0112864051 ,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
phone,pass,Published phone: 0112797400 ,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
email,pass,Published email: lcglandcom@gmail.com,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/mobileServiceInfo_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/intro_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/history_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/depStructure_sin.php,
phone,pass,Published phone: 011-2797401 ,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,
email,pass,Published email: lcglandcom@gmail.com,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,
phone,pass,Published phone: 011-287 3033 ,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,
email,pass,Published email: additionallandcommissioner@gmail.com,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,
page_text,pass,Substantive page content: 8928 visible characters across 14 pages,https://landcom.gov.lk/,
