check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:55:55.337315+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:55:55.337338+05:30
tls,pass,TLS certificate valid,,2026-09-22T06:55:55.628863+05:30
http,pass,Probe 1: HTTP 200 at https://www.mbrc.gov.lk/maintenance.html,https://www.mbrc.gov.lk/,2026-09-22T06:56:02.951847+05:30
http,pass,Probe 2: HTTP 200 at http://www.mbrc.gov.lk/maintenance.html,http://www.mbrc.gov.lk/,2026-09-22T06:56:02.951867+05:30
http,pass,Probe 3: HTTP 200 at https://www.mbrc.gov.lk/maintenance.html,https://www.mbrc.gov.lk/,2026-09-22T06:56:02.951872+05:30
http,pass,Probe 4: HTTP 200 at http://www.mbrc.gov.lk/maintenance.html,http://www.mbrc.gov.lk/,2026-09-22T06:56:02.951876+05:30
generic_hosting,fail,Detected generic hosting marker: back soon,https://www.mbrc.gov.lk/maintenance.html,
generic_hosting,fail,Detected generic hosting marker: back soon,http://www.mbrc.gov.lk/maintenance.html,
generic_hosting,fail,Detected generic hosting marker: back soon,https://www.mbrc.gov.lk/maintenance.html,
generic_hosting,fail,Detected generic hosting marker: back soon,http://www.mbrc.gov.lk/maintenance.html,
page_text,pass,Substantive page content: 300 visible characters across 4 pages,https://www.mbrc.gov.lk/,
