check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:19:29.704289+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:19:29.704307+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-22T06:19:30.625029+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1010),https://www.sliate.ac.lk/,2026-09-22T06:19:50.409513+05:30
http,pass,Probe 2: HTTP 200 at http://www.sliate.ac.lk/,http://www.sliate.ac.lk/,2026-09-22T06:19:50.409532+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1010),https://www.sliate.ac.lk/,2026-09-22T06:19:50.409537+05:30
http,pass,Probe 4: HTTP 200 at http://www.sliate.ac.lk/,http://www.sliate.ac.lk/,2026-09-22T06:19:50.409542+05:30
http,pass,Probe 5: HTTP 200 at http://www.sliate.ac.lk/course/hnde-building-services,http://www.sliate.ac.lk/course/hnde-building-services,2026-09-22T06:19:50.409545+05:30
http,pass,Probe 6: HTTP 200 at http://www.sliate.ac.lk/contact/contact,http://www.sliate.ac.lk/contact/contact,2026-09-22T06:19:50.409548+05:30
http,pass,Probe 7: HTTP 200 at http://www.sliate.ac.lk/contact/form,http://www.sliate.ac.lk/contact/form,2026-09-22T06:19:50.409551+05:30
http,pass,Probe 8: HTTP 200 at http://www.sliate.ac.lk/about,http://www.sliate.ac.lk/about,2026-09-22T06:19:50.409553+05:30
http,pass,Probe 9: HTTP 200 at http://www.sliate.ac.lk/about/overview,http://www.sliate.ac.lk/about/overview,2026-09-22T06:19:50.409556+05:30
http,pass,Probe 10: HTTP 200 at http://www.sliate.ac.lk/about/structure,http://www.sliate.ac.lk/about/structure,2026-09-22T06:19:50.409559+05:30
http,pass,Probe 11: HTTP 200 at http://www.sliate.ac.lk/news/staff,http://www.sliate.ac.lk/news/staff,2026-09-22T06:19:50.409561+05:30
http,pass,Probe 12: HTTP 200 at http://www.sliate.ac.lk/news/students,http://www.sliate.ac.lk/news/students,2026-09-22T06:19:50.409564+05:30
http,pass,Probe 13: HTTP 200 at http://www.sliate.ac.lk/news/common,http://www.sliate.ac.lk/news/common,2026-09-22T06:19:50.409566+05:30
http,pass,Probe 14: HTTP 200 at http://www.sliate.ac.lk/news/event,http://www.sliate.ac.lk/news/event,2026-09-22T06:19:50.409569+05:30
phone,pass,Published phone: +94 112 691 307,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691307 (,http://www.sliate.ac.lk/,
phone,pass,Published phone: 01406 36364,http://www.sliate.ac.lk/,
phone,pass,Published phone: 025-2 - 2026.08.,http://www.sliate.ac.lk/,
phone,pass,Published phone: 0.220.110.149 ,http://www.sliate.ac.lk/,
phone,pass,Published phone: 0174276461,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691572 ,http://www.sliate.ac.lk/,
legal_basis,pass,Published legal basis: circular,http://www.sliate.ac.lk/,
downloadable_form,pass,Published downloadable form: http://www.sliate.ac.lk/attachments/article/475/Re- Scrutiny Application 2025 -1.pdf,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94 112 691 307,http://www.sliate.ac.lk/,
phone,pass,Published phone: 01407 36364,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691307 (,http://www.sliate.ac.lk/,
phone,pass,Published phone: 025-2 - 2026.08.,http://www.sliate.ac.lk/,
phone,pass,Published phone: 0.220.110.149 ,http://www.sliate.ac.lk/,
phone,pass,Published phone: 0174276461,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691572 ,http://www.sliate.ac.lk/,
legal_basis,pass,Published legal basis: circular,http://www.sliate.ac.lk/,
downloadable_form,pass,Published downloadable form: http://www.sliate.ac.lk/attachments/article/475/Re- Scrutiny Application 2025 -1.pdf,http://www.sliate.ac.lk/,
