check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-18T06:57:41.600971+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-18T06:57:41.600987+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-18T06:57:42.801697+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1010),https://www.portmin.gov.lk/,2026-09-18T06:57:47.800955+05:30
http,pass,Probe 2: HTTP 200 at http://www.portmin.gov.lk/,http://www.portmin.gov.lk/,2026-09-18T06:57:47.800972+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1010),https://www.portmin.gov.lk/,2026-09-18T06:57:47.800977+05:30
http,pass,Probe 4: HTTP 200 at http://www.portmin.gov.lk/,http://www.portmin.gov.lk/,2026-09-18T06:57:47.800981+05:30
generic_hosting,fail,Detected generic hosting marker: under construction,http://www.portmin.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,http://www.portmin.gov.lk/,
page_text,fail,Only 147 visible characters across 2 pages; below substance threshold 200,http://www.portmin.gov.lk/,
