check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:43:43.959318+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:43:43.959339+05:30
tls,error,[Errno 111] Connection refused,,2026-09-19T06:43:44.427493+05:30
http,error,Probe 1: [Errno 111] Connection refused,https://www.planetarium.gov.lk/,2026-09-19T06:43:48.392697+05:30
http,fail,Probe 2: HTTP 404 at http://www.planetarium.gov.lk/,http://www.planetarium.gov.lk/,2026-09-19T06:43:48.392721+05:30
http,error,Probe 3: [Errno 111] Connection refused,https://www.planetarium.gov.lk/,2026-09-19T06:43:48.392725+05:30
http,fail,Probe 4: HTTP 404 at http://www.planetarium.gov.lk/,http://www.planetarium.gov.lk/,2026-09-19T06:43:48.392728+05:30
named_responsibility,pass,Published named responsibility: director,http://www.planetarium.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.planetarium.gov.lk/,
page_text,fail,Only 34 visible characters across 2 pages; below substance threshold 200,https://www.planetarium.gov.lk/,
