check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-26T06:40:47.438642+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-26T06:40:47.438659+05:30
tls,pass,TLS certificate valid,,2026-09-26T06:40:48.524291+05:30
http,pass,Probe 1: HTTP 200 at https://neda.gov.lk/,https://neda.gov.lk/,2026-09-26T06:46:26.999867+05:30
http,pass,Probe 2: HTTP 200 at http://neda.gov.lk/,http://neda.gov.lk/,2026-09-26T06:46:26.999887+05:30
http,pass,Probe 3: HTTP 200 at https://neda.gov.lk/,https://neda.gov.lk/,2026-09-26T06:46:26.999891+05:30
http,pass,Probe 4: HTTP 200 at http://neda.gov.lk/,http://neda.gov.lk/,2026-09-26T06:46:26.999893+05:30
http,pass,Probe 5: HTTP 200 at https://neda.gov.lk/contact-us/,https://neda.gov.lk/contact-us/,2026-09-26T06:46:26.999895+05:30
http,pass,Probe 6: HTTP 200 at https://neda.gov.lk/index.php/empowering-msmes-for-sustainable-growth-capacity-building-program-for-neda-officers/,https://neda.gov.lk/index.php/empowering-msmes-for-sustainable-growth-capacity-building-program-for-neda-officers/,2026-09-26T06:46:26.999897+05:30
http,pass,Probe 7: HTTP 200 at https://neda.gov.lk/index.php/empowering-msmes-for-sustainable-growth-capacity-building-program-for-neda-officers-in-collaboration-with-ilo-and-pass-asia/,https://neda.gov.lk/index.php/empowering-msmes-for-sustainable-growth-capacity-building-program-for-neda-officers-in-collaboration-with-ilo-and-pass-asia/,2026-09-26T06:46:26.999900+05:30
http,pass,Probe 8: HTTP 200 at https://neda.gov.lk/about-us,https://neda.gov.lk/about-us,2026-09-26T06:46:26.999902+05:30
http,pass,Probe 9: HTTP 200 at https://neda.gov.lk/board-of-members,https://neda.gov.lk/board-of-members,2026-09-26T06:46:26.999904+05:30
http,pass,Probe 10: HTTP 200 at https://neda.gov.lk/organizational-hierarchy,https://neda.gov.lk/organizational-hierarchy,2026-09-26T06:46:26.999907+05:30
http,pass,Probe 11: HTTP 200 at https://neda.gov.lk/cluster-sector-development-programcluster-program,https://neda.gov.lk/cluster-sector-development-programcluster-program,2026-09-26T06:46:26.999909+05:30
http,pass,Probe 12: HTTP 200 at https://neda.gov.lk/uplift-project,https://neda.gov.lk/uplift-project,2026-09-26T06:46:26.999911+05:30
