check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T06:59:54.915072+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T06:59:54.915091+05:30
tls,pass,TLS certificate valid,,2026-09-21T06:59:55.636832+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://www.moha.gov.lk/,2026-09-21T07:00:10.364421+05:30
http,pass,Probe 2: HTTP 200 at http://moha.gov.lk:8090/lifecode/,http://www.moha.gov.lk/,2026-09-21T07:00:10.364442+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://www.moha.gov.lk/,2026-09-21T07:00:10.364447+05:30
http,pass,Probe 4: HTTP 200 at http://moha.gov.lk:8090/lifecode/,http://www.moha.gov.lk/,2026-09-21T07:00:10.364451+05:30
http,pass,Probe 5: HTTP 200 at http://moha.gov.lk:8090/lifecode/home_sinhala,http://moha.gov.lk:8090/lifecode/home_sinhala,2026-09-21T07:00:10.364454+05:30
http,pass,Probe 6: HTTP 200 at http://moha.gov.lk:8090/lifecode/home_tamil,http://moha.gov.lk:8090/lifecode/home_tamil,2026-09-21T07:00:10.364457+05:30
http,pass,Probe 7: HTTP 200 at http://moha.gov.lk:8090/lifecode/gn_list,http://moha.gov.lk:8090/lifecode/gn_list,2026-09-21T07:00:10.364460+05:30
http,pass,Probe 8: HTTP 200 at http://moha.gov.lk:8090/lifecode/village_list,http://moha.gov.lk:8090/lifecode/village_list,2026-09-21T07:00:10.364462+05:30
http,pass,Probe 9: HTTP 200 at http://moha.gov.lk:8090/lifecode/home,http://moha.gov.lk:8090/lifecode/home,2026-09-21T07:00:10.364465+05:30
http,pass,Probe 10: HTTP 200 at http://moha.gov.lk:8090/lifecode/gn_list_sinhala,http://moha.gov.lk:8090/lifecode/gn_list_sinhala,2026-09-21T07:00:10.364468+05:30
http,pass,Probe 11: HTTP 200 at http://moha.gov.lk:8090/lifecode/village_list_sinhala,http://moha.gov.lk:8090/lifecode/village_list_sinhala,2026-09-21T07:00:10.364471+05:30
http,pass,Probe 12: HTTP 200 at http://moha.gov.lk:8090/lifecode/gn_list_tamil,http://moha.gov.lk:8090/lifecode/gn_list_tamil,2026-09-21T07:00:10.364474+05:30
http,pass,Probe 13: HTTP 200 at http://moha.gov.lk:8090/lifecode/village_list_tamil,http://moha.gov.lk:8090/lifecode/village_list_tamil,2026-09-21T07:00:10.364477+05:30
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/home_sinhala,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/home_tamil,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/gn_list,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/village_list,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/home,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/gn_list_sinhala,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/village_list_sinhala,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/gn_list_tamil,
named_responsibility,pass,Published named responsibility: division,http://moha.gov.lk:8090/lifecode/village_list_tamil,
page_text,pass,Substantive page content: 485 visible characters across 11 pages,https://www.moha.gov.lk/,
