check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T07:03:29.099141+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T07:03:29.099158+05:30
tls_hostname,fail,TLS certificate does not match the hostname,,2026-09-21T07:03:36.426633+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.auditorgeneral.gov.lk'. (_ssl.c:1010)",https://www.auditorgeneral.gov.lk/,2026-09-21T07:05:33.660723+05:30
http,pass,Probe 2: HTTP 200 at http://www.auditorgeneral.gov.lk/,http://www.auditorgeneral.gov.lk/,2026-09-21T07:05:33.660747+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.auditorgeneral.gov.lk'. (_ssl.c:1010)",https://www.auditorgeneral.gov.lk/,2026-09-21T07:05:33.660753+05:30
http,pass,Probe 4: HTTP 200 at http://www.auditorgeneral.gov.lk/,http://www.auditorgeneral.gov.lk/,2026-09-21T07:05:33.660758+05:30
named_responsibility,pass,Published named responsibility: department,http://www.auditorgeneral.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.auditorgeneral.gov.lk/,
page_text,fail,Only 173 visible characters across 2 pages; below substance threshold 200,https://www.auditorgeneral.gov.lk/,
