check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:45:06.321766+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:45:06.321790+05:30
tls,pass,TLS certificate valid,,2026-09-22T06:45:07.059364+05:30
http,pass,Probe 1: HTTP 200 at https://slibtec.gov.lk/,https://slibtec.gov.lk/,2026-09-22T06:45:25.650242+05:30
http,pass,Probe 2: HTTP 200 at https://slibtec.gov.lk/,http://slibtec.gov.lk/,2026-09-22T06:45:25.650275+05:30
http,pass,Probe 3: HTTP 200 at https://slibtec.gov.lk/,https://slibtec.gov.lk/,2026-09-22T06:45:25.650280+05:30
http,pass,Probe 4: HTTP 200 at https://slibtec.gov.lk/,http://slibtec.gov.lk/,2026-09-22T06:45:25.650283+05:30
http,pass,Probe 5: HTTP 200 at https://slibtec.gov.lk/scientific-services/,https://slibtec.gov.lk/scientific-services/,2026-09-22T06:45:25.650286+05:30
http,pass,Probe 6: HTTP 200 at https://slibtec.gov.lk/contact-us/,https://slibtec.gov.lk/contact-us/,2026-09-22T06:45:25.650289+05:30
http,pass,Probe 7: HTTP 200 at https://slibtec.gov.lk/about-us/,https://slibtec.gov.lk/about-us/,2026-09-22T06:45:25.650291+05:30
http,pass,Probe 8: HTTP 200 at https://slibtec.gov.lk/annual-reports/,https://slibtec.gov.lk/annual-reports/,2026-09-22T06:45:25.650294+05:30
http,pass,Probe 9: HTTP 200 at https://slibtec.gov.lk/park/,https://slibtec.gov.lk/park/,2026-09-22T06:45:25.650297+05:30
http,pass,Probe 10: HTTP 200 at https://slibtec.gov.lk/research/,https://slibtec.gov.lk/research/,2026-09-22T06:45:25.650300+05:30
http,pass,Probe 11: HTTP 200 at https://slibtec.gov.lk/publishers/,https://slibtec.gov.lk/publishers/,2026-09-22T06:45:25.650302+05:30
http,pass,Probe 12: HTTP 200 at https://slibtec.gov.lk/procurement/,https://slibtec.gov.lk/procurement/,2026-09-22T06:45:25.650305+05:30
http,pass,Probe 13: HTTP 200 at https://slibtec.gov.lk/courses-and-meeting/,https://slibtec.gov.lk/courses-and-meeting/,2026-09-22T06:45:25.650308+05:30
http,pass,Probe 14: HTTP 200 at https://slibtec.gov.lk/vacancies/,https://slibtec.gov.lk/vacancies/,2026-09-22T06:45:25.650310+05:30
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://slibtec.gov.lk/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://slibtec.gov.lk/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://slibtec.gov.lk/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://slibtec.gov.lk/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/scientific-services/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/scientific-services/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/scientific-services/,
postal_address,pass,Published postal address: Email Contact Number Detailed Service / Equipment Requirement: Number of Samples / Hours (If Relevant) Description of Sa,https://slibtec.gov.lk/scientific-services/,
fees_and_payment,pass,"Published fees and payment: rs,",https://slibtec.gov.lk/scientific-services/,
phone,pass,Published phone: +94 11 343 1844,https://slibtec.gov.lk/contact-us/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/contact-us/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/contact-us/,
email,pass,Published email: amali.ranasinghe@slibtec.gov.lk,https://slibtec.gov.lk/contact-us/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/contact-us/,
email,pass,Published email: chairman@slibtec.gov.lk,https://slibtec.gov.lk/contact-us/,
email,pass,Published email: info@slibtec.gov.lk​,https://slibtec.gov.lk/contact-us/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/about-us/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/about-us/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/about-us/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/annual-reports/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/annual-reports/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/annual-reports/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/park/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/park/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/park/,
fees_and_payment,pass,"Published fees and payment: rs,",https://slibtec.gov.lk/park/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/research/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/research/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/research/,
fees_and_payment,pass,"Published fees and payment: rs,",https://slibtec.gov.lk/research/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/publishers/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/publishers/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/publishers/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/procurement/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/procurement/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/procurement/,
downloadable_form,pass,Published downloadable form: https://slibtec.gov.lk/wp-content/uploads/2026/07/EOI-Information-Form-Internal-Auditor.pdf,https://slibtec.gov.lk/procurement/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/courses-and-meeting/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/courses-and-meeting/,
email,pass,Published email: info@slibtec.gov.lk,https://slibtec.gov.lk/courses-and-meeting/,
phone,pass,Published phone: +94 11 343 1844 ,https://slibtec.gov.lk/vacancies/,
email,pass,Published email: slibtec@gmail.com,https://slibtec.gov.lk/vacancies/,
