check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-23T06:08:06.774756+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-23T06:08:06.774776+05:30
tls,pass,TLS certificate valid,,2026-09-23T06:08:07.326272+05:30
http,pass,Probe 1: HTTP 307 at https://dscsc.lk/,https://dscsc.lk/,2026-09-23T06:08:11.001869+05:30
http,pass,Probe 2: HTTP 307 at http://dscsc.lk/,http://dscsc.lk/,2026-09-23T06:08:11.001891+05:30
http,pass,Probe 3: HTTP 307 at https://dscsc.lk/,https://dscsc.lk/,2026-09-23T06:08:11.001893+05:30
http,pass,Probe 4: HTTP 307 at http://dscsc.lk/,http://dscsc.lk/,2026-09-23T06:08:11.001895+05:30
phone,pass,Published phone: 0123456789,https://dscsc.lk/,
phone,pass,Published phone: 0123456789,http://dscsc.lk/,
phone,pass,Published phone: 0123456789,https://dscsc.lk/,
phone,pass,Published phone: 0123456789,http://dscsc.lk/,
page_text,fail,Only 27 visible characters across 4 pages; below substance threshold 200,https://dscsc.lk/,
