check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-23T06:44:40.020785+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-23T06:44:40.020796+05:30
tls,pass,TLS certificate valid,,2026-09-23T06:44:40.745281+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://npa.gov.lk/,2026-09-23T06:45:33.192575+05:30
http,pass,Probe 2: HTTP 200 at http://npa.gov.lk/,http://npa.gov.lk/,2026-09-23T06:45:33.192593+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://npa.gov.lk/,2026-09-23T06:45:33.192597+05:30
http,pass,Probe 4: HTTP 200 at http://npa.gov.lk/,http://npa.gov.lk/,2026-09-23T06:45:33.192599+05:30
http,pass,Probe 5: HTTP 200 at http://npa.gov.lk/?page_id=587,http://npa.gov.lk/?page_id=587,2026-09-23T06:45:33.192601+05:30
http,pass,Probe 6: HTTP 200 at http://npa.gov.lk/?page_id=401,http://npa.gov.lk/?page_id=401,2026-09-23T06:45:33.192602+05:30
http,pass,Probe 7: HTTP 200 at http://npa.gov.lk/?page_id=416,http://npa.gov.lk/?page_id=416,2026-09-23T06:45:33.192604+05:30
http,pass,Probe 8: HTTP 200 at http://npa.gov.lk/?page_id=468,http://npa.gov.lk/?page_id=468,2026-09-23T06:45:33.192605+05:30
http,pass,Probe 9: HTTP 200 at http://npa.gov.lk/?page_id=537,http://npa.gov.lk/?page_id=537,2026-09-23T06:45:33.192607+05:30
http,pass,Probe 10: HTTP 200 at http://npa.gov.lk/?page_id=1270,http://npa.gov.lk/?page_id=1270,2026-09-23T06:45:33.192609+05:30
http,pass,Probe 11: HTTP 200 at http://npa.gov.lk/?page_id=1081,http://npa.gov.lk/?page_id=1081,2026-09-23T06:45:33.192610+05:30
http,pass,Probe 12: HTTP 200 at http://npa.gov.lk/?page_id=911,http://npa.gov.lk/?page_id=911,2026-09-23T06:45:33.192612+05:30
http,pass,Probe 13: HTTP 200 at http://npa.gov.lk/?page_id=438,http://npa.gov.lk/?page_id=438,2026-09-23T06:45:33.192613+05:30
http,pass,Probe 14: HTTP 200 at http://npa.gov.lk/?page_id=921,http://npa.gov.lk/?page_id=921,2026-09-23T06:45:33.192615+05:30
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2226777,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201,http://npa.gov.lk/,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2226777,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201,http://npa.gov.lk/,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/,
