check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-20T06:37:24.443554+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-20T06:37:24.443581+05:30
tls,pass,TLS certificate valid,,2026-09-20T06:37:25.108978+05:30
http,pass,Probe 1: HTTP 200 at https://www.hc-nairobi.gov.lk/en,https://hc-nairobi.gov.lk/,2026-09-20T06:37:52.118849+05:30
http,pass,Probe 2: HTTP 200 at https://www.hc-nairobi.gov.lk/en,http://hc-nairobi.gov.lk/,2026-09-20T06:37:52.118869+05:30
http,pass,Probe 3: HTTP 200 at https://www.hc-nairobi.gov.lk/en,https://hc-nairobi.gov.lk/,2026-09-20T06:37:52.118874+05:30
http,pass,Probe 4: HTTP 200 at https://www.hc-nairobi.gov.lk/en,http://hc-nairobi.gov.lk/,2026-09-20T06:37:52.118878+05:30
http,pass,Probe 5: HTTP 200 at https://www.hc-nairobi.gov.lk/en/contact,https://www.hc-nairobi.gov.lk/en/contact,2026-09-20T06:37:52.118882+05:30
http,pass,Probe 6: HTTP 200 at https://www.hc-nairobi.gov.lk/en/downloads,https://www.hc-nairobi.gov.lk/en/downloads,2026-09-20T06:37:52.118885+05:30
http,pass,Probe 7: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment,https://www.hc-nairobi.gov.lk/en/appointment,2026-09-20T06:37:52.118888+05:30
http,pass,Probe 8: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d49ff228a6a40dbfcbbfa,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d49ff228a6a40dbfcbbfa,2026-09-20T06:37:52.118891+05:30
http,pass,Probe 9: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d49dd228a6a40dbfcbba8,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d49dd228a6a40dbfcbba8,2026-09-20T06:37:52.118895+05:30
http,pass,Probe 10: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3e17fd228a6a40dbfd4e86,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3e17fd228a6a40dbfd4e86,2026-09-20T06:37:52.118898+05:30
http,pass,Probe 11: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d48d624948746bcd79f88,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d48d624948746bcd79f88,2026-09-20T06:37:52.118901+05:30
http,pass,Probe 12: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d494924948746bcd79fdd,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d494924948746bcd79fdd,2026-09-20T06:37:52.118905+05:30
http,pass,Probe 13: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d48b724948746bcd79f0f,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3d48b724948746bcd79f0f,2026-09-20T06:37:52.118908+05:30
http,pass,Probe 14: HTTP 200 at https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3e184a228a6a40dbfd4f12,https://www.hc-nairobi.gov.lk/en/appointment?serviceId=6a3e184a228a6a40dbfd4f12,2026-09-20T06:37:52.118911+05:30
phone,pass,Published phone: +254734387267,https://www.hc-nairobi.gov.lk/en,
phone,pass,Published phone: 0006714358,https://www.hc-nairobi.gov.lk/en,
email,pass,Published email: john@example.com,https://www.hc-nairobi.gov.lk/en,
email,pass,Published email: slhc.nairobi@mfa.gov.lk,https://www.hc-nairobi.gov.lk/en,
email,pass,Published email: slhc.nairobi@mfa.gov.lk,https://www.hc-nairobi.gov.lk/en,
