check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:36:39.058524+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:36:39.058543+05:30
tls,pass,TLS certificate valid,,2026-09-22T06:36:39.610655+05:30
http,pass,Probe 1: HTTP 200 at https://buildings.gov.lk/index.php?lang=en,https://buildings.gov.lk/,2026-09-22T06:37:18.794387+05:30
http,pass,Probe 2: HTTP 200 at https://buildings.gov.lk/index.php?lang=en,http://buildings.gov.lk/,2026-09-22T06:37:18.794406+05:30
http,pass,Probe 3: HTTP 200 at https://buildings.gov.lk/index.php?lang=en,https://buildings.gov.lk/,2026-09-22T06:37:18.794411+05:30
http,pass,Probe 4: HTTP 200 at https://buildings.gov.lk/index.php?lang=en,http://buildings.gov.lk/,2026-09-22T06:37:18.794415+05:30
http,pass,Probe 5: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-22T06:37:18.794418+05:30
http,pass,Probe 6: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=163&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=163&lang=en,2026-09-22T06:37:18.794421+05:30
http,pass,Probe 7: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=164&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=164&lang=en,2026-09-22T06:37:18.794424+05:30
http,pass,Probe 8: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=14&Itemid=165&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=14&Itemid=165&lang=en,2026-09-22T06:37:18.794427+05:30
http,pass,Probe 9: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=15&Itemid=166&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=15&Itemid=166&lang=en,2026-09-22T06:37:18.794430+05:30
http,pass,Probe 10: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=16&Itemid=167&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=16&Itemid=167&lang=en,2026-09-22T06:37:18.794433+05:30
http,pass,Probe 11: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=17&Itemid=168&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=17&Itemid=168&lang=en,2026-09-22T06:37:18.794436+05:30
http,pass,Probe 12: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=18&Itemid=169&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=18&Itemid=169&lang=en,2026-09-22T06:37:18.794438+05:30
http,pass,Probe 13: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=19&Itemid=170&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=19&Itemid=170&lang=en,2026-09-22T06:37:18.794441+05:30
http,pass,Probe 14: HTTP 200 at https://buildings.gov.lk/index.php?option=com_content&view=article&id=20&Itemid=171&lang=en,https://buildings.gov.lk/index.php?option=com_content&view=article&id=20&Itemid=171&lang=en,2026-09-22T06:37:18.794444+05:30
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=163&lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=163&lang=en,
named_responsibility,pass,Published named responsibility: director,https://buildings.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=163&lang=en,
legal_basis,pass,Published legal basis: regulations,https://buildings.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=163&lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=164&lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=164&lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=164&lang=en,
legal_basis,pass,Published legal basis: regulations,https://buildings.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=164&lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?option=com_content&view=article&id=14&Itemid=165&lang=en,
email,pass,Published email: info@buildingsdept.gov.lk,https://buildings.gov.lk/index.php?option=com_content&view=article&id=14&Itemid=165&lang=en,
named_responsibility,pass,Published named responsibility: department,https://buildings.gov.lk/index.php?option=com_content&view=article&id=14&Itemid=165&lang=en,
phone,pass,Published phone: +94 11 2861489 ,https://buildings.gov.lk/index.php?option=com_content&view=article&id=15&Itemid=166&lang=en,
