check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:58:28.922058+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:58:28.922079+05:30
tls,pass,TLS certificate valid,,2026-09-22T06:58:28.958360+05:30
http,pass,Probe 1: HTTP 200 at https://cleansrilanka.gov.lk/,https://cleansrilanka.gov.lk/,2026-09-22T06:58:44.562436+05:30
http,pass,Probe 2: HTTP 200 at https://cleansrilanka.gov.lk/,http://cleansrilanka.gov.lk/,2026-09-22T06:58:44.562456+05:30
http,pass,Probe 3: HTTP 200 at https://cleansrilanka.gov.lk/,https://cleansrilanka.gov.lk/,2026-09-22T06:58:44.562460+05:30
http,pass,Probe 4: HTTP 200 at https://cleansrilanka.gov.lk/,http://cleansrilanka.gov.lk/,2026-09-22T06:58:44.562464+05:30
http,pass,Probe 5: HTTP 200 at https://cleansrilanka.gov.lk/contact,https://cleansrilanka.gov.lk/contact,2026-09-22T06:58:44.562466+05:30
http,pass,Probe 6: HTTP 200 at https://cleansrilanka.gov.lk/terms-of-service,https://cleansrilanka.gov.lk/terms-of-service,2026-09-22T06:58:44.562469+05:30
http,pass,Probe 7: HTTP 200 at https://cleansrilanka.gov.lk/about,https://cleansrilanka.gov.lk/about,2026-09-22T06:58:44.562471+05:30
http,pass,Probe 8: HTTP 200 at https://cleansrilanka.gov.lk/news,https://cleansrilanka.gov.lk/news,2026-09-22T06:58:44.562474+05:30
http,pass,Probe 9: HTTP 200 at https://cleansrilanka.gov.lk/events,https://cleansrilanka.gov.lk/events,2026-09-22T06:58:44.562477+05:30
http,pass,Probe 10: HTTP 200 at https://cleansrilanka.gov.lk/paper-articles,https://cleansrilanka.gov.lk/paper-articles,2026-09-22T06:58:44.562479+05:30
http,pass,Probe 11: HTTP 200 at https://cleansrilanka.gov.lk/downloads,https://cleansrilanka.gov.lk/downloads,2026-09-22T06:58:44.562482+05:30
http,pass,Probe 12: HTTP 200 at https://cleansrilanka.gov.lk/progress,https://cleansrilanka.gov.lk/progress,2026-09-22T06:58:44.562485+05:30
http,pass,Probe 13: HTTP 200 at https://cleansrilanka.gov.lk/faq,https://cleansrilanka.gov.lk/faq,2026-09-22T06:58:44.562487+05:30
http,pass,Probe 14: HTTP 200 at https://cleansrilanka.gov.lk/donate,https://cleansrilanka.gov.lk/donate,2026-09-22T06:58:44.562490+05:30
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/contact,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/contact,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/contact,
postal_address,pass,"Published postal address: Clean Sri Lanka Secretariat 150, Sri Uththarananda Mawatha , Lotus Building, Colombo 03",https://cleansrilanka.gov.lk/contact,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/terms-of-service,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/terms-of-service,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/terms-of-service,
named_responsibility,pass,Published named responsibility: director,https://cleansrilanka.gov.lk/terms-of-service,
legal_basis,pass,Published legal basis: regulations,https://cleansrilanka.gov.lk/terms-of-service,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/about,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/about,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/about,
legal_basis,pass,Published legal basis: circular,https://cleansrilanka.gov.lk/about,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/news,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/news,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/news,
phone,pass,Published phone: 00-33312983,https://cleansrilanka.gov.lk/events,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/events,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/events,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/events,
published_update_date,pass,Published published update date: 2025-12-29,https://cleansrilanka.gov.lk/events,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/paper-articles,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/paper-articles,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/paper-articles,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/downloads,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/downloads,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/downloads,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/progress,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/progress,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/progress,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/faq,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/faq,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/faq,
phone,pass,Published phone: 0093921832 ,https://cleansrilanka.gov.lk/donate,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/donate,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/donate,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/donate,
postal_address,pass,Published postal address: * Address * Phone Number * Phone Payment Method Choose your preferred payment option BANK OF CEYLON Secure banking with ,https://cleansrilanka.gov.lk/donate,
fees_and_payment,pass,Published fees and payment: LKR 0,https://cleansrilanka.gov.lk/donate,
published_update_date,pass,Published published update date: 2025-12-29,https://cleansrilanka.gov.lk/donate,
page_text,pass,Substantive page content: 4265 visible characters across 14 pages,https://cleansrilanka.gov.lk/,
