check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:08:45.127861+05:30
domain_registration,pass,Domain registered,,2026-09-19T06:08:45.127872+05:30
tls,error,[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1010),,2026-09-19T06:08:45.302594+05:30
http,error,Probe 1: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1010),https://www.nelumpokuna.com/,2026-09-19T06:08:58.609031+05:30
http,pass,Probe 2: HTTP 200 at http://www.nelumpokuna.com/,http://www.nelumpokuna.com/,2026-09-19T06:08:58.609056+05:30
http,error,Probe 3: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1010),https://www.nelumpokuna.com/,2026-09-19T06:08:58.609060+05:30
http,pass,Probe 4: HTTP 200 at http://www.nelumpokuna.com/,http://www.nelumpokuna.com/,2026-09-19T06:08:58.609063+05:30
http,pass,Probe 5: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323433456Theare_front.jpg,http://www.nelumpokuna.com/photos/large/1323433456Theare_front.jpg,2026-09-19T06:08:58.609066+05:30
http,pass,Probe 6: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323433566Theatre_long_vie.jpg,http://www.nelumpokuna.com/photos/large/1323433566Theatre_long_vie.jpg,2026-09-19T06:08:58.609069+05:30
http,pass,Probe 7: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323433646ceats_view1.jpg,http://www.nelumpokuna.com/photos/large/1323433646ceats_view1.jpg,2026-09-19T06:08:58.609071+05:30
http,pass,Probe 8: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323433713inside_view.jpg,http://www.nelumpokuna.com/photos/large/1323433713inside_view.jpg,2026-09-19T06:08:58.609073+05:30
http,pass,Probe 9: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323433777stage_view.jpg,http://www.nelumpokuna.com/photos/large/1323433777stage_view.jpg,2026-09-19T06:08:58.609076+05:30
http,pass,Probe 10: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323434283entrance_from_inside.jpg,http://www.nelumpokuna.com/photos/large/1323434283entrance_from_inside.jpg,2026-09-19T06:08:58.609079+05:30
http,pass,Probe 11: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323434379theatre_sie_view.jpg,http://www.nelumpokuna.com/photos/large/1323434379theatre_sie_view.jpg,2026-09-19T06:08:58.609081+05:30
http,pass,Probe 12: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323434482structure_view.jpg,http://www.nelumpokuna.com/photos/large/1323434482structure_view.jpg,2026-09-19T06:08:58.609084+05:30
http,pass,Probe 13: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323434683inthe_top.jpg,http://www.nelumpokuna.com/photos/large/1323434683inthe_top.jpg,2026-09-19T06:08:58.609086+05:30
http,pass,Probe 14: HTTP 200 at http://www.nelumpokuna.com/photos/large/1323435136side_view.jpg,http://www.nelumpokuna.com/photos/large/1323435136side_view.jpg,2026-09-19T06:08:58.609088+05:30
phone,pass,Published phone: 0221436522,http://www.nelumpokuna.com/,
phone,pass,Published phone: 0221436522,http://www.nelumpokuna.com/,
page_text,pass,Substantive page content: 157517 visible characters across 12 pages,https://www.nelumpokuna.com/,
