check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:47:46.163545+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:47:46.163567+05:30
tls,pass,TLS certificate valid,,2026-09-19T06:47:46.722196+05:30
http,pass,Probe 1: HTTP 200 at https://sltb.lk/,https://sltb.lk/,2026-09-19T06:47:52.534344+05:30
http,pass,Probe 2: HTTP 200 at https://sltb.lk/,http://sltb.lk/,2026-09-19T06:47:52.534365+05:30
http,pass,Probe 3: HTTP 200 at https://sltb.lk/,https://sltb.lk/,2026-09-19T06:47:52.534369+05:30
http,pass,Probe 4: HTTP 200 at https://sltb.lk/,http://sltb.lk/,2026-09-19T06:47:52.534371+05:30
phone,pass,Published phone: +94117555555,https://sltb.lk/,
email,pass,Published email: info@sltb.lk,https://sltb.lk/,
phone,pass,Published phone: +94117555555,https://sltb.lk/,
email,pass,Published email: info@sltb.lk,https://sltb.lk/,
phone,pass,Published phone: +94117555555,https://sltb.lk/,
email,pass,Published email: info@sltb.lk,https://sltb.lk/,
phone,pass,Published phone: +94117555555,https://sltb.lk/,
email,pass,Published email: info@sltb.lk,https://sltb.lk/,
page_text,fail,Only 25 visible characters across 4 pages; below substance threshold 200,https://sltb.lk/,
