check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-25T06:44:00.177438+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-25T06:44:00.177455+05:30
tls,pass,TLS certificate valid,,2026-09-25T06:44:01.175116+05:30
http,pass,Probe 1: HTTP 200 at https://judgesinstitute.lk/,https://judgesinstitute.lk/,2026-09-25T06:44:17.751035+05:30
http,pass,Probe 2: HTTP 200 at https://judgesinstitute.lk/,http://judgesinstitute.lk/,2026-09-25T06:44:17.751051+05:30
http,pass,Probe 3: HTTP 200 at https://judgesinstitute.lk/,https://judgesinstitute.lk/,2026-09-25T06:44:17.751055+05:30
http,pass,Probe 4: HTTP 200 at https://judgesinstitute.lk/,http://judgesinstitute.lk/,2026-09-25T06:44:17.751058+05:30
http,pass,Probe 5: HTTP 200 at https://judgesinstitute.lk/services-facilities,https://judgesinstitute.lk/services-facilities,2026-09-25T06:44:17.751061+05:30
http,pass,Probe 6: HTTP 200 at https://judgesinstitute.lk/contact-us,https://judgesinstitute.lk/contact-us,2026-09-25T06:44:17.751064+05:30
http,pass,Probe 7: HTTP 200 at https://judgesinstitute.lk/about-us,https://judgesinstitute.lk/about-us,2026-09-25T06:44:17.751067+05:30
http,pass,Probe 8: HTTP 200 at https://judgesinstitute.lk/research,https://judgesinstitute.lk/research,2026-09-25T06:44:17.751070+05:30
http,pass,Probe 9: HTTP 200 at https://judgesinstitute.lk/elibrary,https://judgesinstitute.lk/elibrary,2026-09-25T06:44:17.751073+05:30
http,pass,Probe 10: HTTP 200 at https://judgesinstitute.lk/gallery,https://judgesinstitute.lk/gallery,2026-09-25T06:44:17.751076+05:30
http,pass,Probe 11: HTTP 200 at https://judgesinstitute.lk/events,https://judgesinstitute.lk/events,2026-09-25T06:44:17.751078+05:30
http,pass,Probe 12: HTTP 200 at https://judgesinstitute.lk/news,https://judgesinstitute.lk/news,2026-09-25T06:44:17.751081+05:30
http,pass,Probe 13: HTTP 200 at https://judgesinstitute.lk/downloads,https://judgesinstitute.lk/downloads,2026-09-25T06:44:17.751084+05:30
http,pass,Probe 14: HTTP 200 at https://judgesinstitute.lk/acts,https://judgesinstitute.lk/acts,2026-09-25T06:44:17.751087+05:30
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/services-facilities,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/services-facilities,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/contact-us,
phone,pass,Published phone: {{item.MobileNo}},https://judgesinstitute.lk/contact-us,
phone,pass,Published phone: 0179268224 ,https://judgesinstitute.lk/contact-us,
phone,pass,Published phone: {{item.TelephoneNo}},https://judgesinstitute.lk/contact-us,
phone,pass,Published phone: {{data.phoneNo}},https://judgesinstitute.lk/contact-us,
email,pass,Published email: {{data.email}},https://judgesinstitute.lk/contact-us,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/contact-us,
email,pass,Published email: {{item.Email}},https://judgesinstitute.lk/contact-us,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/about-us,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/about-us,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/research,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/research,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/elibrary,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/elibrary,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/gallery,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/gallery,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/events,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/events,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/news,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/news,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/downloads,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/downloads,
phone,pass,Published phone: +94112541193,https://judgesinstitute.lk/acts,
email,pass,Published email: slji.information@gmail.com,https://judgesinstitute.lk/acts,
page_text,pass,Substantive page content: 1588 visible characters across 14 pages,https://judgesinstitute.lk/,
